START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
01/03/2014,7:00 PM,7:00 PM,Ny Rangers at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,MSG 2 /  ROOT,01/03/2014,01/03/2014,10:00 PM,10:00 PM,FALSE,TRUE,01/03/2014,6:00 PM,6:00 PM,FREE,BUSY
01/05/2014,1:00 PM,1:00 PM,Winnipeg at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,TSN-JETS /  ROOT,01/05/2014,01/05/2014,4:00 PM,4:00 PM,FALSE,TRUE,01/05/2014,12:00 PM,12:00 PM,FREE,BUSY
01/07/2014,7:00 PM,10:00 PM,Pittsburgh at Vancouver,Rogers Arena - Vancouver - BC,TSN /  ROOT,01/07/2014,01/08/2014,10:00 PM,1:00 AM,FALSE,TRUE,01/07/2014,6:00 PM,9:00 PM,FREE,BUSY
01/10/2014,8:00 PM,10:00 PM,Pittsburgh at Edmonton,Rexall Place - Edmonton - AB,TSN /  ROOT,01/10/2014,01/11/2014,11:00 PM,1:00 AM,FALSE,TRUE,01/10/2014,7:00 PM,9:00 PM,FREE,BUSY
01/11/2014,8:00 PM,10:00 PM,Pittsburgh at Calgary,Scotiabank Saddledome - Calgary - AB,CBC /  ROOT,01/11/2014,01/12/2014,11:00 PM,1:00 AM,FALSE,TRUE,01/11/2014,7:00 PM,9:00 PM,FREE,BUSY
01/15/2014,8:00 PM,8:00 PM,Washington at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,TSN2 / NBCSN,01/15/2014,01/15/2014,11:00 PM,11:00 PM,FALSE,TRUE,01/15/2014,7:00 PM,7:00 PM,FREE,BUSY
01/20/2014,7:00 PM,7:00 PM,Florida at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,FS-F /  ROOT,01/20/2014,01/20/2014,10:00 PM,10:00 PM,FALSE,TRUE,01/20/2014,6:00 PM,6:00 PM,FREE,BUSY
01/22/2014,7:00 PM,7:00 PM,Montreal at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,RDS / TSN /  ROOT,01/22/2014,01/22/2014,10:00 PM,10:00 PM,FALSE,TRUE,01/22/2014,6:00 PM,6:00 PM,FREE,BUSY
01/23/2014,7:30 PM,7:30 PM,Pittsburgh at Ny Islanders,Nassau Coliseum - Uniondale - NY,TSN2 / NBCSN /  ROOT,01/23/2014,01/23/2014,10:30 PM,10:30 PM,FALSE,TRUE,01/23/2014,6:30 PM,6:30 PM,FREE,BUSY
01/25/2014,7:00 PM,8:00 PM,Pittsburgh at Dallas,American Airlines Center - Dallas - TX,ROOT /  FS-SW,01/25/2014,01/25/2014,10:00 PM,11:00 PM,FALSE,TRUE,01/25/2014,6:00 PM,7:00 PM,FREE,BUSY
01/27/2014,7:30 PM,7:30 PM,Buffalo at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,TSN2 / NBCSN /  ROOT,01/27/2014,01/27/2014,10:30 PM,10:30 PM,FALSE,TRUE,01/27/2014,6:30 PM,6:30 PM,FREE,BUSY
01/30/2014,7:30 PM,10:30 PM,Pittsburgh at Los Angeles,Staples Center - Los Angeles - CA,ROOT /  FS-W,01/30/2014,01/31/2014,10:30 PM,1:30 AM,FALSE,TRUE,01/30/2014,6:30 PM,9:30 PM,FREE,BUSY
02/01/2014,6:00 PM,8:00 PM,Pittsburgh at Phoenix,Jobing.com Arena - Glendale - AZ,ROOT,02/01/2014,02/01/2014,9:00 PM,11:00 PM,FALSE,TRUE,02/01/2014,5:00 PM,7:00 PM,FREE,BUSY
02/03/2014,7:00 PM,7:00 PM,Ottawa at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,TSN /  ROOT,02/03/2014,02/03/2014,10:00 PM,10:00 PM,FALSE,TRUE,02/03/2014,6:00 PM,6:00 PM,FREE,BUSY
