START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
04/17/13,07:05 PM,07:05 PM,Cardinals at Pirates,PNC Park,"Local TV: MLBN ----- Local Radio: KDKA-FM 93.7",04/17/13,04/17/13,10:05 PM,10:05 PM,FALSE,TRUE,04/17/13,06:05 PM,06:05 PM,FREE,BUSY
04/18/13,07:05 PM,07:05 PM,Braves at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/18/13,04/18/13,10:05 PM,10:05 PM,FALSE,TRUE,04/18/13,06:05 PM,06:05 PM,FREE,BUSY
04/19/13,07:05 PM,07:05 PM,Braves at Pirates,PNC Park,"Local TV: MLBN ----- Local Radio: KDKA-FM 93.7",04/19/13,04/19/13,10:05 PM,10:05 PM,FALSE,TRUE,04/19/13,06:05 PM,06:05 PM,FREE,BUSY
04/20/13,07:05 PM,07:05 PM,Braves at Pirates,PNC Park,"Local TV: ROOT SPORTS -- MLBN ----- Local Radio: KDKA-FM 93.7",04/20/13,04/20/13,10:05 PM,10:05 PM,FALSE,TRUE,04/20/13,06:05 PM,06:05 PM,FREE,BUSY
04/21/13,01:35 PM,01:35 PM,Braves at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",04/21/13,04/21/13,04:35 PM,04:35 PM,FALSE,TRUE,04/21/13,12:35 PM,12:35 PM,FREE,BUSY
05/03/13,07:05 PM,07:05 PM,Nationals at Pirates,PNC Park,"Local Radio: KDKA-FM 93.7",05/03/13,05/03/13,10:05 PM,10:05 PM,FALSE,TRUE,05/03/13,06:05 PM,06:05 PM,FREE,BUSY
05/04/13,04:05 PM,04:05 PM,Nationals at Pirates,PNC Park,"Local TV: FOX ----- Local Radio: KDKA-FM 93.7",05/04/13,05/04/13,07:05 PM,07:05 PM,FALSE,TRUE,05/04/13,03:05 PM,03:05 PM,FREE,BUSY
05/05/13,01:35 PM,01:35 PM,Nationals at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/05/13,05/05/13,04:35 PM,04:35 PM,FALSE,TRUE,05/05/13,12:35 PM,12:35 PM,FREE,BUSY
05/07/13,07:05 PM,07:05 PM,Mariners at Pirates,PNC Park,"Local Radio: KDKA-FM 93.7",05/07/13,05/07/13,10:05 PM,10:05 PM,FALSE,TRUE,05/07/13,06:05 PM,06:05 PM,FREE,BUSY
05/08/13,12:35 PM,12:35 PM,Mariners at Pirates,PNC Park,"Local TV: ROOT SPORTS -- MLBN ----- Local Radio: KDKA-FM 93.7",05/08/13,05/08/13,03:35 PM,03:35 PM,FALSE,TRUE,05/08/13,11:35 AM,11:35 AM,FREE,BUSY
05/13/13,07:05 PM,07:05 PM,Brewers at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/13/13,05/13/13,10:05 PM,10:05 PM,FALSE,TRUE,05/13/13,06:05 PM,06:05 PM,FREE,BUSY
05/14/13,07:05 PM,07:05 PM,Brewers at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/14/13,05/14/13,10:05 PM,10:05 PM,FALSE,TRUE,05/14/13,06:05 PM,06:05 PM,FREE,BUSY
05/15/13,07:05 PM,07:05 PM,Brewers at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",05/15/13,05/15/13,10:05 PM,10:05 PM,FALSE,TRUE,05/15/13,06:05 PM,06:05 PM,FREE,BUSY
